levels(as.factor(full_data$species))

Architectonica valenciennesi
Archosargus rhomboidalis
Arcinella californica
Arcopsis solida
Arcos erythrops
Arctocephalus philippii
Arctocephalus townsendi
Ardea alba
Ardea herodias
Ardenna creatopus
Ardisia schippii
Ardissonea robusta
Arenaeus mexicanus
Arenaria interpres
Arenaria lanuginosa
Arenaria melanocephala
Arene (Arene) adusta
Arene adusta
Arene ferruginosa
Arene fricki
Arene hindsiana
Arene ramata
Arene socorrensis
Arene socorroensis
Arene stellata
Areopaguristes praedator
Argemone ochroleuca
Argentina sialis
Argia carlcooki
Argia pulla
Argia tezpi
Argiope argentata
Argiope aurantia
Argiope trifasciata
Argonauta argo
Argonauta cornuta
Argonauta hians
Argonauta nouryi
Argopecten circularis
Argopecten irradians
Argopecten ventricosus
Argyropelecus lychnus
Argythamnia lanceolata
Aricidea (Acesta) simplex
Aricidea (Acmira) lopezi
Aricidea (Acmira) simplex
Aricidea (Aedicira) alisetosa
Aricidea (Aedicira) pacifica
Aricidea (Strelzovia) hartleyi
Aricidea assimilis
Aricidea catherinae
Aricidea crassicapitis
Aricidea fragilis
Aricidea hartleyi
Aricidea jeffreysii
Aricidea longicirrata
Aricidea lopezi
Aricidea lopezi lopezi
Aricidea lopezi rosea
Aricidea minima
Aricidea minuta
Aricidea neosuecica
Aricidea pacifica
Aricidea pseudoarticulata
Aricidea rubra
Aricidea simplex
Aricidea suecica
Aricidea trilobata
Aricidea wassi
Arielia mitriformis
Ariopsis seemanni
Ariosoma gilberti
Aristida adscensionis
Aristida californica
Aristida glabrata
Aristida tenuifolia
Aristida ternipes
Aristida vaginata
Aristolochia carterae
Aristolochia socorroensis
Aristolochia watsonii
Arius maculatus
Arius platypogon
Arius seemanni
Arivela viscosa
Armadilloniscus holmesi
Armandia agilis
Armandia brevis
Armandia intermedia
Armases magdalenense
Armina californica
Arothron hispidus
Arothron meleagris
Arothron nigropunctatus
Arothron setosus
Arothron stellatus
Arrhopalites gnaspinii
Arrhopalites gnaspinii 
Artemia monica
Arthroceras subterminale
Artostrobus annulatus
Aruma histrio
Arvelius tuxtlaensis
Asabellides lineata
Ascalapha odorata
Ascia monuste
Ascia monuste monuste
Ascia monuste raza
Ascidia archaia
Ascidia ceratodes
Ascidia sydneiensis
Asclepias albicans
Asclepias subulata
Ascobulla japonica
Ascorhiza occidentalis
Aseraggodes herrei
Asio flammeus
Asparagopsis taxiformis
Asparagus densiflorus
Aspella pyramidalis
Aspidolea fuliginea
Aspidoscelis espiritensis
Aspidoscelis hyperythrus
Aspidoscelis lineattissimus
Aspidoscelis maximus
Aspidoscelis tigris
Aspidosiphon (Aspidosiphon) elegans
Aspidosiphon (Paraspidosiphon) fischeri ten
Aspidosiphon elegans
Aspidosiphon fischeri
Aspidosiphon pastori
Aspisomoides bilineatum
Asplenium formosum
Asplenium sessilifolium
Asterina agustincasoi
Asterina miniata
Asterionella bleakeleyi
Asterionella glacialis
Asterionella kariana
Asterionellopsis glacialis
Asterolampra grevillei
Asterolampra marylandica
Asteromphalus arachne
Asteromphalus cleveanus
Asteromphalus elegans
Asteromphalus flabellatus
Asteromphalus heptactis
Asteromphalus hiltonianus
Asteromphalus hookeri
Asteromphalus ingens
Asteromphalus pettersonii
Asteromphalus robustus
Asteromphalus roperianus
Asteromphalus stellatus
Asteronyx excavata
Asteronyx longifissus
Asteroplanus karianus
Asteropsis carinifera
Asthenothaerus diegensis
Asthenothaerus villosior
Astraea (Uvanilla) olivacea
Astraea (Uvanilla) unguis
Astraea babelis
Astragalus magdalenae
Astrangia (Coenangia) conferta
Astrangia caboensis
Astrangia concepcionensis
Astrangia conferta
Astrangia dentata
Astrangia haimei
Astrangia hancocki
Astrocaneum spinosum
Astrodia excavata
